Method,Image,Kernel Size,Time (s),Status,Output Path
Sequential,4K_download,5,3.99,Success,Output_Performance/kernel_5/4K_download_sequential.jpg
OpenMP,4K_download,5,1.20,Success,Output_Performance/kernel_5/4K_download_openmp.jpg
MPI,4K_download,5,3.70,Error,Output_Performance/kernel_5/4K_download_mpi.jpg
Sequential,Quad_HD_lena,5,2.32,Success,Output_Performance/kernel_5/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,5,1.07,Success,Output_Performance/kernel_5/Quad_HD_lena_openmp.jpg
MPI,Quad_HD_lena,5,2.26,Error,Output_Performance/kernel_5/Quad_HD_lena_mpi.jpg
Sequential,Quad_HD_download,5,2.25,Success,Output_Performance/kernel_5/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,5,1.04,Success,Output_Performance/kernel_5/Quad_HD_download_openmp.jpg
MPI,Quad_HD_download,5,2.35,Error,Output_Performance/kernel_5/Quad_HD_download_mpi.jpg
Sequential,2K_lena,5,1.73,Success,Output_Performance/kernel_5/2K_lena_sequential.jpg
OpenMP,2K_lena,5,0.99,Success,Output_Performance/kernel_5/2K_lena_openmp.jpg
MPI,2K_lena,5,1.83,Error,Output_Performance/kernel_5/2K_lena_mpi.jpg
Sequential,2K_download,5,1.71,Success,Output_Performance/kernel_5/2K_download_sequential.jpg
OpenMP,2K_download,5,0.97,Success,Output_Performance/kernel_5/2K_download_openmp.jpg
MPI,2K_download,5,1.82,Error,Output_Performance/kernel_5/2K_download_mpi.jpg
Sequential,Full_HD_download,5,1.64,Success,Output_Performance/kernel_5/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,5,1.04,Success,Output_Performance/kernel_5/Full_HD_download_openmp.jpg
MPI,Full_HD_download,5,1.82,Error,Output_Performance/kernel_5/Full_HD_download_mpi.jpg
Sequential,Full_HD_lena,5,1.67,Success,Output_Performance/kernel_5/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,5,0.97,Success,Output_Performance/kernel_5/Full_HD_lena_openmp.jpg
MPI,Full_HD_lena,5,1.75,Error,Output_Performance/kernel_5/Full_HD_lena_mpi.jpg
Sequential,HD_lena,5,1.22,Success,Output_Performance/kernel_5/HD_lena_sequential.jpg
OpenMP,HD_lena,5,0.91,Success,Output_Performance/kernel_5/HD_lena_openmp.jpg
MPI,HD_lena,5,1.38,Error,Output_Performance/kernel_5/HD_lena_mpi.jpg
Sequential,HD_download,5,1.24,Success,Output_Performance/kernel_5/HD_download_sequential.jpg
OpenMP,HD_download,5,0.90,Success,Output_Performance/kernel_5/HD_download_openmp.jpg
MPI,HD_download,5,1.51,Error,Output_Performance/kernel_5/HD_download_mpi.jpg
Sequential,VGA_download,5,0.98,Success,Output_Performance/kernel_5/VGA_download_sequential.jpg
OpenMP,VGA_download,5,0.90,Success,Output_Performance/kernel_5/VGA_download_openmp.jpg
MPI,VGA_download,5,1.22,Error,Output_Performance/kernel_5/VGA_download_mpi.jpg
Sequential,VGA_lena,5,0.99,Success,Output_Performance/kernel_5/VGA_lena_sequential.jpg
OpenMP,VGA_lena,5,0.89,Success,Output_Performance/kernel_5/VGA_lena_openmp.jpg
MPI,VGA_lena,5,1.17,Error,Output_Performance/kernel_5/VGA_lena_mpi.jpg
Sequential,thumbnail_lena,5,0.88,Success,Output_Performance/kernel_5/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,5,0.89,Success,Output_Performance/kernel_5/thumbnail_lena_openmp.jpg
MPI,thumbnail_lena,5,1.07,Error,Output_Performance/kernel_5/thumbnail_lena_mpi.jpg
Sequential,thumbnail_download,5,0.86,Success,Output_Performance/kernel_5/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,5,0.87,Success,Output_Performance/kernel_5/thumbnail_download_openmp.jpg
MPI,thumbnail_download,5,1.12,Error,Output_Performance/kernel_5/thumbnail_download_mpi.jpg
Sequential,8K_download,7,22.42,Success,Output_Performance/kernel_7/8K_download_sequential.jpg
OpenMP,8K_download,7,3.22,Success,Output_Performance/kernel_7/8K_download_openmp.jpg
MPI,8K_download,7,20.27,Error,Output_Performance/kernel_7/8K_download_mpi.jpg
Sequential,8K_lena,7,23.36,Success,Output_Performance/kernel_7/8K_lena_sequential.jpg
OpenMP,8K_lena,7,3.82,Success,Output_Performance/kernel_7/8K_lena_openmp.jpg
MPI,8K_lena,7,21.52,Error,Output_Performance/kernel_7/8K_lena_mpi.jpg
Sequential,4K_lena,7,6.50,Success,Output_Performance/kernel_7/4K_lena_sequential.jpg
OpenMP,4K_lena,7,1.63,Success,Output_Performance/kernel_7/4K_lena_openmp.jpg
MPI,4K_lena,7,5.95,Error,Output_Performance/kernel_7/4K_lena_mpi.jpg
Sequential,4K_download,7,6.62,Success,Output_Performance/kernel_7/4K_download_sequential.jpg
OpenMP,4K_download,7,1.61,Success,Output_Performance/kernel_7/4K_download_openmp.jpg
MPI,4K_download,7,6.27,Error,Output_Performance/kernel_7/4K_download_mpi.jpg
Sequential,Quad_HD_lena,7,3.40,Success,Output_Performance/kernel_7/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,7,1.31,Success,Output_Performance/kernel_7/Quad_HD_lena_openmp.jpg
MPI,Quad_HD_lena,7,3.43,Error,Output_Performance/kernel_7/Quad_HD_lena_mpi.jpg
Sequential,Quad_HD_download,7,3.32,Success,Output_Performance/kernel_7/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,7,1.17,Success,Output_Performance/kernel_7/Quad_HD_download_openmp.jpg
MPI,Quad_HD_download,7,3.36,Error,Output_Performance/kernel_7/Quad_HD_download_mpi.jpg
Sequential,2K_lena,7,2.39,Success,Output_Performance/kernel_7/2K_lena_sequential.jpg
OpenMP,2K_lena,7,1.10,Success,Output_Performance/kernel_7/2K_lena_openmp.jpg
MPI,2K_lena,7,2.47,Error,Output_Performance/kernel_7/2K_lena_mpi.jpg
Sequential,2K_download,7,2.42,Success,Output_Performance/kernel_7/2K_download_sequential.jpg
OpenMP,2K_download,7,1.07,Success,Output_Performance/kernel_7/2K_download_openmp.jpg
MPI,2K_download,7,2.50,Error,Output_Performance/kernel_7/2K_download_mpi.jpg
Sequential,Full_HD_download,7,2.31,Success,Output_Performance/kernel_7/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,7,1.07,Success,Output_Performance/kernel_7/Full_HD_download_openmp.jpg
MPI,Full_HD_download,7,2.46,Error,Output_Performance/kernel_7/Full_HD_download_mpi.jpg
Sequential,Full_HD_lena,7,2.42,Success,Output_Performance/kernel_7/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,7,1.10,Success,Output_Performance/kernel_7/Full_HD_lena_openmp.jpg
MPI,Full_HD_lena,7,2.42,Error,Output_Performance/kernel_7/Full_HD_lena_mpi.jpg
Sequential,HD_lena,7,1.55,Success,Output_Performance/kernel_7/HD_lena_sequential.jpg
OpenMP,HD_lena,7,1.10,Success,Output_Performance/kernel_7/HD_lena_openmp.jpg
MPI,HD_lena,7,1.81,Error,Output_Performance/kernel_7/HD_lena_mpi.jpg
Sequential,HD_download,7,1.51,Success,Output_Performance/kernel_7/HD_download_sequential.jpg
OpenMP,HD_download,7,1.00,Success,Output_Performance/kernel_7/HD_download_openmp.jpg
MPI,HD_download,7,1.73,Error,Output_Performance/kernel_7/HD_download_mpi.jpg
Sequential,VGA_download,7,1.14,Success,Output_Performance/kernel_7/VGA_download_sequential.jpg
OpenMP,VGA_download,7,0.91,Success,Output_Performance/kernel_7/VGA_download_openmp.jpg
MPI,VGA_download,7,1.34,Error,Output_Performance/kernel_7/VGA_download_mpi.jpg
Sequential,VGA_lena,7,1.15,Success,Output_Performance/kernel_7/VGA_lena_sequential.jpg
OpenMP,VGA_lena,7,1.04,Success,Output_Performance/kernel_7/VGA_lena_openmp.jpg
MPI,VGA_lena,7,1.40,Error,Output_Performance/kernel_7/VGA_lena_mpi.jpg
Sequential,thumbnail_lena,7,0.96,Success,Output_Performance/kernel_7/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,7,0.88,Success,Output_Performance/kernel_7/thumbnail_lena_openmp.jpg
MPI,thumbnail_lena,7,1.10,Error,Output_Performance/kernel_7/thumbnail_lena_mpi.jpg
Sequential,thumbnail_download,7,0.89,Success,Output_Performance/kernel_7/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,7,0.93,Success,Output_Performance/kernel_7/thumbnail_download_openmp.jpg
MPI,thumbnail_download,7,1.13,Error,Output_Performance/kernel_7/thumbnail_download_mpi.jpg
Sequential,8K_download,9,34.59,Success,Output_Performance/kernel_9/8K_download_sequential.jpg
OpenMP,8K_download,9,4.53,Success,Output_Performance/kernel_9/8K_download_openmp.jpg
MPI,8K_download,9,31.12,Error,Output_Performance/kernel_9/8K_download_mpi.jpg
Sequential,8K_lena,9,34.91,Success,Output_Performance/kernel_9/8K_lena_sequential.jpg
OpenMP,8K_lena,9,4.83,Success,Output_Performance/kernel_9/8K_lena_openmp.jpg
MPI,8K_lena,9,31.62,Error,Output_Performance/kernel_9/8K_lena_mpi.jpg
Sequential,4K_lena,9,10.34,Success,Output_Performance/kernel_9/4K_lena_sequential.jpg
OpenMP,4K_lena,9,2.31,Success,Output_Performance/kernel_9/4K_lena_openmp.jpg
MPI,4K_lena,9,8.89,Error,Output_Performance/kernel_9/4K_lena_mpi.jpg
Sequential,4K_download,9,9.41,Success,Output_Performance/kernel_9/4K_download_sequential.jpg
OpenMP,4K_download,9,1.94,Success,Output_Performance/kernel_9/4K_download_openmp.jpg
MPI,4K_download,9,8.75,Error,Output_Performance/kernel_9/4K_download_mpi.jpg
Sequential,Quad_HD_lena,9,4.64,Success,Output_Performance/kernel_9/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,9,1.38,Success,Output_Performance/kernel_9/Quad_HD_lena_openmp.jpg
MPI,Quad_HD_lena,9,4.51,Error,Output_Performance/kernel_9/Quad_HD_lena_mpi.jpg
Sequential,Quad_HD_download,9,4.64,Success,Output_Performance/kernel_9/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,9,1.39,Success,Output_Performance/kernel_9/Quad_HD_download_openmp.jpg
MPI,Quad_HD_download,9,4.97,Error,Output_Performance/kernel_9/Quad_HD_download_mpi.jpg
Sequential,2K_lena,9,3.32,Success,Output_Performance/kernel_9/2K_lena_sequential.jpg
OpenMP,2K_lena,9,1.34,Success,Output_Performance/kernel_9/2K_lena_openmp.jpg
MPI,2K_lena,9,3.49,Error,Output_Performance/kernel_9/2K_lena_mpi.jpg
Sequential,2K_download,9,3.13,Success,Output_Performance/kernel_9/2K_download_sequential.jpg
OpenMP,2K_download,9,1.21,Success,Output_Performance/kernel_9/2K_download_openmp.jpg
MPI,2K_download,9,3.25,Error,Output_Performance/kernel_9/2K_download_mpi.jpg
Sequential,Full_HD_download,9,3.00,Success,Output_Performance/kernel_9/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,9,1.12,Success,Output_Performance/kernel_9/Full_HD_download_openmp.jpg
MPI,Full_HD_download,9,2.97,Error,Output_Performance/kernel_9/Full_HD_download_mpi.jpg
Sequential,Full_HD_lena,9,2.96,Success,Output_Performance/kernel_9/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,9,1.13,Success,Output_Performance/kernel_9/Full_HD_lena_openmp.jpg
MPI,Full_HD_lena,9,2.92,Error,Output_Performance/kernel_9/Full_HD_lena_mpi.jpg
Sequential,HD_lena,9,1.78,Success,Output_Performance/kernel_9/HD_lena_sequential.jpg
