Method,Image,Kernel Size,Time (s),Status,Output Path
MPI,HD_download,9,0.25,Success,Output_Performance\kernel_9\HD_download_mpi.jpg
MPI,HD_lena,9,0.26,Success,Output_Performance\kernel_9\HD_lena_mpi.jpg
MPI,VGA_download,9,0.12,Success,Output_Performance\kernel_9\VGA_download_mpi.jpg
MPI,VGA_lena,9,0.12,Success,Output_Performance\kernel_9\VGA_lena_mpi.jpg
MPI,thumbnail_download,9,0.06,Success,Output_Performance\kernel_9\thumbnail_download_mpi.jpg
MPI,thumbnail_lena,9,0.07,Success,Output_Performance\kernel_9\thumbnail_lena_mpi.jpg
MPI,8K_download,11,9.63,Success,Output_Performance\kernel_11\8K_download_mpi.jpg
MPI,8K_lena,11,9.74,Success,Output_Performance\kernel_11\8K_lena_mpi.jpg
MPI,4K_download,11,2.41,Success,Output_Performance\kernel_11\4K_download_mpi.jpg
MPI,4K_lena,11,2.49,Success,Output_Performance\kernel_11\4K_lena_mpi.jpg
MPI,Quad_HD_download,11,1.12,Success,Output_Performance\kernel_11\Quad_HD_download_mpi.jpg
MPI,Quad_HD_lena,11,1.17,Success,Output_Performance\kernel_11\Quad_HD_lena_mpi.jpg
MPI,2K_download,11,0.70,Success,Output_Performance\kernel_11\2K_download_mpi.jpg
MPI,2K_lena,11,0.70,Success,Output_Performance\kernel_11\2K_lena_mpi.jpg
MPI,Full_HD_download,11,0.67,Success,Output_Performance\kernel_11\Full_HD_download_mpi.jpg
MPI,Full_HD_lena,11,0.66,Success,Output_Performance\kernel_11\Full_HD_lena_mpi.jpg
MPI,HD_download,11,0.31,Success,Output_Performance\kernel_11\HD_download_mpi.jpg
MPI,HD_lena,11,0.33,Success,Output_Performance\kernel_11\HD_lena_mpi.jpg
MPI,VGA_download,11,0.15,Success,Output_Performance\kernel_11\VGA_download_mpi.jpg
MPI,VGA_lena,11,0.15,Success,Output_Performance\kernel_11\VGA_lena_mpi.jpg
MPI,thumbnail_download,11,0.05,Success,Output_Performance\kernel_11\thumbnail_download_mpi.jpg
MPI,thumbnail_lena,11,0.05,Success,Output_Performance\kernel_11\thumbnail_lena_mpi.jpg
MPI,8K_download,101,744.05,Success,Output_Performance\kernel_101\8K_download_mpi.jpg
