Method,Image,Kernel Size,Time (s),Status,Output Path
Sequential,8K_download,7,22.89,Success,Output_Performance/kernel_7/8K_download_sequential.jpg
OpenMP,8K_download,7,3.51,Success,Output_Performance/kernel_7/8K_download_openmp.jpg
Sequential,8K_lena,7,23.19,Success,Output_Performance/kernel_7/8K_lena_sequential.jpg
OpenMP,8K_lena,7,3.87,Success,Output_Performance/kernel_7/8K_lena_openmp.jpg
Sequential,4K_lena,7,6.46,Success,Output_Performance/kernel_7/4K_lena_sequential.jpg
OpenMP,4K_lena,7,1.70,Success,Output_Performance/kernel_7/4K_lena_openmp.jpg
Sequential,4K_download,7,6.35,Success,Output_Performance/kernel_7/4K_download_sequential.jpg
OpenMP,4K_download,7,1.57,Success,Output_Performance/kernel_7/4K_download_openmp.jpg
Sequential,Quad_HD_lena,7,3.46,Success,Output_Performance/kernel_7/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,7,1.34,Success,Output_Performance/kernel_7/Quad_HD_lena_openmp.jpg
Sequential,Quad_HD_download,7,3.35,Success,Output_Performance/kernel_7/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,7,1.22,Success,Output_Performance/kernel_7/Quad_HD_download_openmp.jpg
Sequential,2K_lena,7,2.44,Success,Output_Performance/kernel_7/2K_lena_sequential.jpg
OpenMP,2K_lena,7,1.22,Success,Output_Performance/kernel_7/2K_lena_openmp.jpg
Sequential,2K_download,7,2.36,Success,Output_Performance/kernel_7/2K_download_sequential.jpg
OpenMP,2K_download,7,1.12,Success,Output_Performance/kernel_7/2K_download_openmp.jpg
Sequential,Full_HD_download,7,2.37,Success,Output_Performance/kernel_7/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,7,1.12,Success,Output_Performance/kernel_7/Full_HD_download_openmp.jpg
Sequential,Full_HD_lena,7,2.35,Success,Output_Performance/kernel_7/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,7,1.13,Success,Output_Performance/kernel_7/Full_HD_lena_openmp.jpg
Sequential,HD_lena,7,1.54,Success,Output_Performance/kernel_7/HD_lena_sequential.jpg
OpenMP,HD_lena,7,1.02,Success,Output_Performance/kernel_7/HD_lena_openmp.jpg
Sequential,HD_download,7,1.55,Success,Output_Performance/kernel_7/HD_download_sequential.jpg
OpenMP,HD_download,7,1.07,Success,Output_Performance/kernel_7/HD_download_openmp.jpg
Sequential,VGA_download,7,1.12,Success,Output_Performance/kernel_7/VGA_download_sequential.jpg
OpenMP,VGA_download,7,0.95,Success,Output_Performance/kernel_7/VGA_download_openmp.jpg
Sequential,VGA_lena,7,1.14,Success,Output_Performance/kernel_7/VGA_lena_sequential.jpg
OpenMP,VGA_lena,7,0.96,Success,Output_Performance/kernel_7/VGA_lena_openmp.jpg
Sequential,thumbnail_lena,7,0.93,Success,Output_Performance/kernel_7/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,7,1.07,Success,Output_Performance/kernel_7/thumbnail_lena_openmp.jpg
Sequential,thumbnail_download,7,0.95,Success,Output_Performance/kernel_7/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,7,0.96,Success,Output_Performance/kernel_7/thumbnail_download_openmp.jpg
Sequential,8K_download,9,35.52,Success,Output_Performance/kernel_9/8K_download_sequential.jpg
OpenMP,8K_download,9,5.00,Success,Output_Performance/kernel_9/8K_download_openmp.jpg
Sequential,8K_lena,9,36.93,Success,Output_Performance/kernel_9/8K_lena_sequential.jpg
OpenMP,8K_lena,9,5.29,Success,Output_Performance/kernel_9/8K_lena_openmp.jpg
Sequential,4K_lena,9,9.99,Success,Output_Performance/kernel_9/4K_lena_sequential.jpg
OpenMP,4K_lena,9,2.15,Success,Output_Performance/kernel_9/4K_lena_openmp.jpg
Sequential,4K_download,9,9.71,Success,Output_Performance/kernel_9/4K_download_sequential.jpg
OpenMP,4K_download,9,2.15,Success,Output_Performance/kernel_9/4K_download_openmp.jpg
Sequential,Quad_HD_lena,9,4.98,Success,Output_Performance/kernel_9/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,9,1.49,Success,Output_Performance/kernel_9/Quad_HD_lena_openmp.jpg
Sequential,Quad_HD_download,9,5.28,Success,Output_Performance/kernel_9/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,9,1.37,Success,Output_Performance/kernel_9/Quad_HD_download_openmp.jpg
Sequential,2K_lena,9,3.20,Success,Output_Performance/kernel_9/2K_lena_sequential.jpg
OpenMP,2K_lena,9,1.24,Success,Output_Performance/kernel_9/2K_lena_openmp.jpg
Sequential,2K_download,9,3.15,Success,Output_Performance/kernel_9/2K_download_sequential.jpg
OpenMP,2K_download,9,1.21,Success,Output_Performance/kernel_9/2K_download_openmp.jpg
Sequential,Full_HD_download,9,3.16,Success,Output_Performance/kernel_9/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,9,1.15,Success,Output_Performance/kernel_9/Full_HD_download_openmp.jpg
Sequential,Full_HD_lena,9,3.03,Success,Output_Performance/kernel_9/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,9,1.19,Success,Output_Performance/kernel_9/Full_HD_lena_openmp.jpg
Sequential,HD_lena,9,1.84,Success,Output_Performance/kernel_9/HD_lena_sequential.jpg
OpenMP,HD_lena,9,1.01,Success,Output_Performance/kernel_9/HD_lena_openmp.jpg
Sequential,HD_download,9,1.80,Success,Output_Performance/kernel_9/HD_download_sequential.jpg
OpenMP,HD_download,9,1.02,Success,Output_Performance/kernel_9/HD_download_openmp.jpg
Sequential,VGA_download,9,1.19,Success,Output_Performance/kernel_9/VGA_download_sequential.jpg
OpenMP,VGA_download,9,0.97,Success,Output_Performance/kernel_9/VGA_download_openmp.jpg
Sequential,VGA_lena,9,1.21,Success,Output_Performance/kernel_9/VGA_lena_sequential.jpg
OpenMP,VGA_lena,9,0.93,Success,Output_Performance/kernel_9/VGA_lena_openmp.jpg
Sequential,thumbnail_lena,9,0.99,Success,Output_Performance/kernel_9/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,9,0.91,Success,Output_Performance/kernel_9/thumbnail_lena_openmp.jpg
Sequential,thumbnail_download,9,0.97,Success,Output_Performance/kernel_9/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,9,0.95,Success,Output_Performance/kernel_9/thumbnail_download_openmp.jpg
Sequential,8K_download,11,50.33,Success,Output_Performance/kernel_11/8K_download_sequential.jpg
OpenMP,8K_download,11,6.79,Success,Output_Performance/kernel_11/8K_download_openmp.jpg
Sequential,8K_lena,11,51.93,Success,Output_Performance/kernel_11/8K_lena_sequential.jpg
OpenMP,8K_lena,11,7.46,Success,Output_Performance/kernel_11/8K_lena_openmp.jpg
Sequential,4K_lena,11,13.71,Success,Output_Performance/kernel_11/4K_lena_sequential.jpg
OpenMP,4K_lena,11,2.45,Success,Output_Performance/kernel_11/4K_lena_openmp.jpg
Sequential,4K_download,11,13.27,Success,Output_Performance/kernel_11/4K_download_sequential.jpg
OpenMP,4K_download,11,2.41,Success,Output_Performance/kernel_11/4K_download_openmp.jpg
Sequential,Quad_HD_lena,11,6.37,Success,Output_Performance/kernel_11/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,11,1.64,Success,Output_Performance/kernel_11/Quad_HD_lena_openmp.jpg
Sequential,Quad_HD_download,11,6.33,Success,Output_Performance/kernel_11/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,11,1.67,Success,Output_Performance/kernel_11/Quad_HD_download_openmp.jpg
Sequential,2K_lena,11,4.24,Success,Output_Performance/kernel_11/2K_lena_sequential.jpg
OpenMP,2K_lena,11,1.32,Success,Output_Performance/kernel_11/2K_lena_openmp.jpg
Sequential,2K_download,11,4.17,Success,Output_Performance/kernel_11/2K_download_sequential.jpg
OpenMP,2K_download,11,1.27,Success,Output_Performance/kernel_11/2K_download_openmp.jpg
Sequential,Full_HD_download,11,4.14,Success,Output_Performance/kernel_11/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,11,1.25,Success,Output_Performance/kernel_11/Full_HD_download_openmp.jpg
Sequential,Full_HD_lena,11,3.98,Success,Output_Performance/kernel_11/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,11,1.30,Success,Output_Performance/kernel_11/Full_HD_lena_openmp.jpg
Sequential,HD_lena,11,2.26,Success,Output_Performance/kernel_11/HD_lena_sequential.jpg
OpenMP,HD_lena,11,1.07,Success,Output_Performance/kernel_11/HD_lena_openmp.jpg
Sequential,HD_download,11,2.23,Success,Output_Performance/kernel_11/HD_download_sequential.jpg
OpenMP,HD_download,11,1.06,Success,Output_Performance/kernel_11/HD_download_openmp.jpg
Sequential,VGA_download,11,1.42,Success,Output_Performance/kernel_11/VGA_download_sequential.jpg
OpenMP,VGA_download,11,0.96,Success,Output_Performance/kernel_11/VGA_download_openmp.jpg
Sequential,VGA_lena,11,1.34,Success,Output_Performance/kernel_11/VGA_lena_sequential.jpg
OpenMP,VGA_lena,11,0.95,Success,Output_Performance/kernel_11/VGA_lena_openmp.jpg
Sequential,thumbnail_lena,11,0.92,Success,Output_Performance/kernel_11/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,11,0.90,Success,Output_Performance/kernel_11/thumbnail_lena_openmp.jpg
Sequential,thumbnail_download,11,0.90,Success,Output_Performance/kernel_11/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,11,0.89,Success,Output_Performance/kernel_11/thumbnail_download_openmp.jpg
